index,District,D Positive Tweet,D Negative Tweet,R Positive Tweet,R Negative Tweet
0,AK00,0.7657657657657657,0.23423423423423423,0.6565217391304348,0.34347826086956523
0,AL01,0,0,0.6129032258064516,0.3870967741935484
0,AL04,0.6774193548387096,0.3225806451612903,0.8524590163934426,0.14754098360655737
0,AL02,0.9,0.1,0.7596153846153846,0.2403846153846154
0,AL03,0.8,0.2,0.9026548672566371,0.09734513274336283
0,AL05,0.9253731343283582,0.07462686567164178,0.935,0.065
0,AL06,0,0,0.8260869565217391,0.17391304347826086
0,AL07,0.875,0.125,0.8367346938775511,0.16326530612244897
0,AR01,0.8018867924528302,0.19811320754716982,0.78,0.22
0,AR02,0.9310344827586207,0.06896551724137931,0.5725806451612904,0.4274193548387097
0,AR04,0.7297297297297297,0.2702702702702703,0.7663551401869159,0.2336448598130841
0,AR03,0.8863636363636364,0.11363636363636363,0.7894736842105263,0.21052631578947367
0,AZ01,0.8225806451612904,0.1774193548387097,0.7557251908396947,0.24427480916030533
0,AZ02,0.8645833333333334,0.13541666666666666,0.8115942028985508,0.18840579710144928
0,AZ03,0.5739130434782609,0.4260869565217391,0.7528089887640449,0.24719101123595505
0,AZ04,0.8105263157894737,0.18947368421052632,0.746268656716418,0.2537313432835821
0,AZ05,0.75,0.25,0.5609756097560976,0.43902439024390244
0,AZ06,0.7428571428571429,0.2571428571428571,0.8083333333333333,0.19166666666666668
0,AZ07,0.6853932584269663,0.3146067415730337,0.7647058823529411,0.23529411764705882
0,AZ08,0,0,0.59,0.41
0,AZ09,0,0,0.5080645161290323,0.49193548387096775
0,CA02,0.7565217391304347,0.24347826086956523,0.8620689655172413,0.13793103448275862
0,CA03,0.69,0.31,0.7109375,0.2890625
0,CA04,0.6875,0.3125,0.7293233082706767,0.2706766917293233
0,CA05,0.797979797979798,0.20202020202020202,0.7301587301587301,0.2698412698412698
0,CA06,0.7241379310344828,0.27586206896551724,0.8173913043478261,0.1826086956521739
0,CA07,0.7981651376146789,0.2018348623853211,0.9166666666666666,0.08333333333333333
0,CA08,0.4742268041237113,0.5257731958762887,0.9130434782608695,0.08695652173913043
0,CA09,0.591304347826087,0.40869565217391307,0.35333333333333333,0.6466666666666666
0,CA11,0.6565656565656566,0.3434343434343434,0.680672268907563,0.31932773109243695
0,CA12,0.6909090909090909,0.3090909090909091,0.8666666666666667,0.13333333333333333
0,CA13,0.7452830188679245,0.25471698113207547,0.6458333333333334,0.3541666666666667
0,CA14,0.35294117647058826,0.6470588235294118,0.808695652173913,0.19130434782608696
0,CA15,0.7354260089686099,0.2645739910313901,0,0
0,CA16,0.7831325301204819,0.21686746987951808,0,0
0,CA17,0.689922480620155,0.31007751937984496,0.7264150943396226,0.27358490566037735
0,CA18,0.6105263157894737,0.3894736842105263,0.7088607594936709,0.2911392405063291
0,CA19,0.780952380952381,0.21904761904761905,0.7165354330708661,0.28346456692913385
0,CA20,0.8163265306122449,0.1836734693877551,0.5760869565217391,0.42391304347826086
0,CA21,0.6115702479338843,0.3884297520661157,0.8354430379746836,0.16455696202531644
0,CA22,0.7719298245614035,0.22807017543859648,0.9224137931034483,0.07758620689655173
0,CA23,0.6308724832214765,0.3691275167785235,0.7735849056603774,0.22641509433962265
0,CA24,0.8235294117647058,0.17647058823529413,0.488,0.512
0,CA25,0.7454545454545455,0.2545454545454545,0.7297297297297297,0.2702702702702703
0,CA26,0.7951807228915663,0.20481927710843373,0.8,0.2
0,CA27,0.6354166666666666,0.3645833333333333,0.7692307692307693,0.23076923076923078
0,CA28,0.8181818181818182,0.18181818181818182,0.7555555555555555,0.24444444444444444
0,CA29,0.7258883248730964,0.27411167512690354,0,0
0,CA30,0.6752136752136753,0.3247863247863248,0,0
0,CA31,0.8117647058823529,0.18823529411764706,0.6,0.4
0,CA32,0.35714285714285715,0.6428571428571429,0.9313725490196079,0.06862745098039216
0,CA33,0.8141592920353983,0.18584070796460178,0.6545454545454545,0.34545454545454546
0,CA35,0.6470588235294118,0.35294117647058826,0.6666666666666666,0.3333333333333333
0,CA36,0.6923076923076923,0.3076923076923077,0.7086614173228346,0.29133858267716534
0,CA37,0.7586206896551724,0.2413793103448276,0,0
0,CA38,0.75,0.25,0.7884615384615384,0.21153846153846154
0,CA39,0.8144329896907216,0.18556701030927836,0.8,0.2
0,CA40,1.0,0.0,0.8578947368421053,0.14210526315789473
0,CA41,0.7863247863247863,0.21367521367521367,0.6893203883495146,0.3106796116504854
0,CA42,0.6068376068376068,0.39316239316239315,0.7803030303030303,0.2196969696969697
0,CA43,0.52,0.48,0.5272727272727272,0.4727272727272727
0,CA44,0.7592592592592593,0.24074074074074073,0.7142857142857143,0.2857142857142857
0,CA45,0.7719298245614035,0.22807017543859648,0.6442953020134228,0.35570469798657717
0,CA46,0.7913043478260869,0.20869565217391303,0.6065573770491803,0.39344262295081966
0,CA47,0.8067226890756303,0.19327731092436976,0.79,0.21
0,CA49,0.8181818181818182,0.18181818181818182,0.6237623762376238,0.37623762376237624
0,CA50,0.7017543859649122,0.2982456140350877,0.7777777777777778,0.2222222222222222
0,CA51,0.7319587628865979,0.26804123711340205,0.674074074074074,0.32592592592592595
0,CA01,0.7478260869565218,0.25217391304347825,0.6608695652173913,0.3391304347826087
0,CA52,0.8275862068965517,0.1724137931034483,0.96875,0.03125
0,CA48,0.9551282051282052,0.04487179487179487,0.6962025316455697,0.3037974683544304
0,CA10,0.7419354838709677,0.25806451612903225,0,0
0,CA34,0.7325581395348837,0.26744186046511625,0,0
